Date,Purchase,Redeem
20140423,313677307.0,278470936.0
20140424,318358891.0,224536754.0
20140425,220927432.0,227764292.0
20140426,151625415.0,158122962.0
20140427,146837951.0,191915377.0
20140428,324937272.0,327724735.0
20140429,330607104.0,307578349.0
20140430,260091330.0,281835975.0
20140501,193045106.0,143362755.0
20140502,125336258.0,121222064.0
20140503,185094488.0,199568043.0
20140504,303087562.0,413222034.0
20140505,370924149.0,309330781.0
20140506,318002728.0,341108696.0
20140507,417327518.0,239372999.0
20140508,392838756.0,273187499.0
20140509,281479009.0,247743971.0
20140510,287240171.0,147248328.0
20140511,182424063.0,152945581.0
20140512,325108597.0,293952908.0
20140513,275241493.0,257918375.0
20140514,305474522.0,316225442.0
20140515,313367089.0,238307643.0
20140516,231967423.0,282094916.0
20140517,170983868.0,145854372.0
20140518,164419642.0,153440019.0
20140519,259077930.0,293791406.0
20140520,453955303.0,260040720.0
20140521,297799722.0,250223726.0
20140522,344636549.0,251108485.0
20140523,249546195.0,229000787.0
20140524,160073254.0,154409868.0
20140525,166943526.0,231004758.0
20140526,344890868.0,274707572.0
20140527,299049555.0,321965845.0
20140528,276134813.0,415891684.0
20140529,320549863.0,313827800.0
20140530,226547701.0,312802179.0
20140531,146823669.0,142862063.0
20140601,183489775.0,149829253.0
20140602,158219402.0,170409506.0
20140603,270887462.0,385622582.0
20140604,274460744.0,303978838.0
20140605,380042567.0,355645445.0
20140606,301413900.0,274862067.0
20140607,187801995.0,146203577.0
20140608,302171269.0,169525332.0
20140609,366114374.0,287520152.0
20140610,354031597.0,298190025.0
20140611,327661453.0,246127540.0
20140612,332365185.0,236467885.0
20140613,216923770.0,386799040.0
20140614,181574530.0,229916191.0
20140615,166080126.0,116623756.0
20140616,387308484.0,492349489.0
20140617,270350693.0,502560223.0
20140618,335262709.0,421920230.0
20140619,338609087.0,284956260.0
20140620,251582530.0,286583065.0
20140621,177999186.0,231003775.0
20140622,147180819.0,361285652.0
20140623,232227670.0,373779624.0
20140624,245450766.0,428471509.0
20140625,264663201.0,547295931.0
20140626,297628039.0,418742109.0
20140627,264282703.0,399444352.0
20140628,153826161.0,283400236.0
20140629,158801540.0,261170799.0
20140630,334054112.0,456547794.0
20140701,384428753.0,374164541.0
20140702,384555819.0,328950951.0
20140703,297894643.0,289009780.0
20140704,211649838.0,264494550.0
20140705,169383796.0,272535138.0
20140706,199569025.0,195530758.0
20140707,272182847.0,317612569.0
20140708,224240103.0,340453063.0
20140709,278005555.0,269642881.0
20140710,283095921.0,326009240.0
20140711,208671021.0,240050748.0
20140712,177644343.0,149081488.0
20140713,179759885.0,199459990.0
20140714,254797524.0,284753279.0
20140715,334810012.0,261722182.0
20140716,394890140.0,234775948.0
20140717,253011280.0,298279385.0
20140718,208959595.0,208671287.0
20140719,210318023.0,155464283.0
20140720,176449304.0,174462836.0
20140721,378088594.0,434191479.0
20140722,243084133.0,369043423.0
20140723,265461894.0,308353077.0
20140724,277044480.0,347622431.0
20140725,181641088.0,262874791.0
20140726,128268053.0,282653341.0
20140727,151406251.0,166610652.0
20140728,371762756.0,345986909.0
20140729,228093046.0,303480103.0
20140730,209917272.0,250117716.0
20140731,191728916.0,277194379.0
20140801,374884735.0,252540858.0
20140802,189092130.0,172250225.0
20140803,173825397.0,127125217.0
20140804,330640884.0,322907524.0
20140805,394780870.0,221706539.0
20140806,288821016.0,282346594.0
20140807,247646474.0,253659514.0
20140808,233903717.0,311648757.0
20140809,160262764.0,163611708.0
20140810,259534870.0,189909225.0
20140811,331550471.0,418603336.0
20140812,258493673.0,309754858.0
20140813,261506619.0,303975517.0
20140814,257702660.0,211939431.0
20140815,244551620.0,236516007.0
20140816,215059736.0,219214339.0
20140817,149978271.0,139564084.0
20140818,298499146.0,259169016.0
20140819,266401973.0,254929877.0
20140820,308378692.0,202452782.0
20140821,251763517.0,219963356.0
20140822,246316056.0,179349206.0
20140823,141412027.0,199377531.0
20140824,130195484.0,191080151.0
20140825,309574223.0,312413411.0
20140826,306945089.0,285478563.0
20140827,302194801.0,468164147.0
20140828,245082751.0,297893861.0
20140829,267554713.0,273756380.0
20140830,199708772.0,196374134.0
20140831,275090213.0,292943033.0
